City,TimeZoneName,WindowsTimeZoneId,Lat,Lon,Notes
Lomé,Africa/Accra,Greenwich Standard Time,6.130419,1.215829,
London,Europe/London,GMT Standard Time,51.4893335,-0.1440551,
Longyearbyen,Arctic/Longyearbyen,W. Europe Standard Time,78.2231558,15.6463656,Override applied
Los Angeles,America/Los_Angeles,Pacific Standard Time,34.0536909,-118.242766,
Luanda,Africa/Luanda,W. Central Africa Standard Time,-8.8272699,13.2439512,
Lubumbashi,Africa/Lubumbashi,South Africa Standard Time,-11.6642316,27.4826264,
Lusaka,Africa/Lusaka,South Africa Standard Time,-15.4163395,28.2818414,
Luxembourg,Europe/Luxembourg,W. Europe Standard Time,49.8158683,6.1296751,
Madrid,Europe/Madrid,Romance Standard Time,40.4167047,-3.7035825,
Magadan,Asia/Magadan,Magadan Standard Time,63.5515028,154.014726,
Majuro,Pacific/Majuro,UTC+12,7.0909924,171.3816354,
Makassar,Asia/Makassar,Singapore Standard Time,-5.1342962,119.4124282,
Malabo,Africa/Malabo,W. Central Africa Standard Time,3.741877,8.7740663,
Male,Indian/Maldives,West Asia Standard Time,4.1779879,73.5107387,
Managua,America/Managua,Central America Standard Time,12.1544035,-86.2737642,
Manama,Asia/Bahrain,Arab Standard Time,26.2235041,50.5822436,
Manaus,America/Manaus,SA Western Standard Time,-3.1316333,-59.9825041,
Manila,Asia/Manila,Singapore Standard Time,14.5904492,120.9803621,
Manokwari,Asia/Jayapura,Tokyo Standard Time,-0.9776762,133.7538039,
Maputo,Africa/Maputo,South Africa Standard Time,-25.966213,32.56745,
Marion Island (Prince Edward Islands),,,,,No geocode result
Mary's Harbour,America/St_Johns,Newfoundland Standard Time,52.3097092,-55.8377319,Override applied
Maseru,Africa/Johannesburg,South Africa Standard Time,-29.310054,27.478222,
Mbabane,Africa/Bujumbura,South Africa Standard Time,-3.3638125,29.3675028,
Melbourne,Australia/Melbourne,AUS Eastern Standard Time,-37.8142454,144.9631732,
Mexico City,America/Mexico_City,Central Standard Time (Mexico),19.3207722,-99.1514678,
Miami,America/New_York,Eastern Standard Time,25.7741728,-80.19362,
Midway,,,,,Override applied; No geocode result
Minneapolis,America/Chicago,Central Standard Time,44.9772995,-93.2654692,
Minsk,Europe/Minsk,Belarus Standard Time,53.9024716,27.5618225,
Mogadishu,Africa/Mogadishu,E. Africa Standard Time,2.0349312,45.3419183,
Monaco,Europe/Monaco,W. Europe Standard Time,43.7323492,7.4276832,
Monrovia,Africa/Monrovia,Greenwich Standard Time,6.328034,-10.797788,
Montevideo,America/Montevideo,Montevideo Standard Time,-34.9058916,-56.1913095,
Montréal,America/Toronto,Eastern Standard Time,45.5031824,-73.5698065,Override applied
Moroni,Indian/Comoro,E. Africa Standard Time,-11.6931255,43.2543044,
Moscow,Europe/Moscow,Russian Standard Time,55.625578,37.6063916,
Mumbai,Asia/Kolkata,India Standard Time,19.054999,72.8692035,
Muscat,Asia/Muscat,Arabian Standard Time,23.6123628,58.5938134,
N'Djamena,Africa/Douala,W. Central Africa Standard Time,12.1191543,15.0502758,Override applied
Nairobi,Africa/Nairobi,E. Africa Standard Time,-1.3026148,36.828842,
Nassau,America/Nassau,Eastern Standard Time,25.0782266,-77.3383438,
Naypyidaw,Asia/Yangon,Myanmar Standard Time,19.7753289,96.1032552,
New Delhi,Asia/Kolkata,India Standard Time,28.6430858,77.2192671,
New Orleans,America/Chicago,Central Standard Time,29.9559145,-90.0730259,
New York,America/New_York,Eastern Standard Time,40.7127281,-74.0060152,
Ngerulmud,Pacific/Palau,Tokyo Standard Time,7.5006446,134.6242864,
Niamey,Africa/Niamey,W. Central Africa Standard Time,13.524834,2.109823,
Nicosia,Asia/Famagusta,GTB Standard Time,35.1746503,33.3638783,
Norilsk,Asia/Krasnoyarsk,North Asia Standard Time,69.3444054,88.2096151,
Nouakchott,Africa/Nouakchott,Greenwich Standard Time,18.0792379,-15.9780071,
Novosibirsk,Asia/Novosibirsk,N. Central Asia Standard Time,55.0288307,82.9226887,
Nuku'alofa,Pacific/Tongatapu,Tonga Standard Time,-21.1343401,-175.201808,
Nusantara,Asia/Makassar,Singapore Standard Time,-0.9730669,116.7087104,Override applied
Nuuk,America/Nuuk,Greenland Standard Time,64.1766835,-51.7359356,Override applied
Oklahoma City,America/Chicago,Central Standard Time,35.4729886,-97.5170536,
Omsk,Asia/Omsk,Omsk Standard Time,54.9830067,73.3745224,
Oral,Asia/Yekaterinburg,Ekaterinburg Standard Time,51.7119835,54.5865583,
Oslo,Europe/Oslo,W. Europe Standard Time,59.9133301,10.7389701,
Ottawa,America/Toronto,Eastern Standard Time,45.4208777,-75.6901106,
Ouagadougou,Africa/Ouagadougou,Greenwich Standard Time,12.3681873,-1.5270944,
Palikir,Pacific/Pohnpei,Central Pacific Standard Time,6.920744,158.1627143,
Panama,America/Panama,SA Pacific Standard Time,8.559559,-81.1308434,
Papeete,Pacific/Tahiti,Hawaiian Standard Time,-17.5373835,-149.5659964,
Paramaribo,America/Paramaribo,SA Eastern Standard Time,5.8241764,-55.1662813,
Paris,Europe/Paris,Romance Standard Time,48.8534951,2.3483915,
Perth,Australia/Perth,W. Australia Standard Time,-31.9558967,115.8605784,
Petropavlovsk-Kamchatsky,Asia/Kamchatka,Russia Time Zone 11,53.0199838,158.6471356,
Pevek,Asia/Anadyr,Russia Time Zone 11,69.6681351,170.4048323,
Philadelphia,America/New_York,Eastern Standard Time,39.9527237,-75.1635262,
Phnom Penh,Asia/Phnom_Penh,SE Asia Standard Time,11.5730391,104.857807,
Phoenix,America/Phoenix,US Mountain Standard Time,33.4484367,-112.074141,
Pituffik,America/Thule,Atlantic Standard Time,76.5299466,-68.7145636,Override applied
Podgorica,Europe/Podgorica,Central Europe Standard Time,42.4415238,19.2621081,
Pond Inlet,America/Iqaluit,Eastern Standard Time,72.6976743,-77.9574381,
Ponta Delgada,Atlantic/Azores,Azores Standard Time,37.7393398,-25.6689503,
Pontianak,Asia/Pontianak,SE Asia Standard Time,-0.0226903,109.3447488,
Port-au-Prince,America/Port-au-Prince,Haiti Standard Time,18.547327,-72.3395928,
Port-aux-Francais,Indian/Kerguelen,West Asia Standard Time,-49.3497607,70.2199565,Override applied
Port Louis,Indian/Mauritius,Mauritius Standard Time,-20.1624522,57.5028044,
Port Moresby,Pacific/Port_Moresby,West Pacific Standard Time,-9.4743301,147.1599504,
Port of Spain,America/Port_of_Spain,SA Western Standard Time,10.6572678,-61.5180173,
Port Vila,Pacific/Efate,Central Pacific Standard Time,-17.7414972,168.3150163,
Porto Novo,Africa/Porto-Novo,W. Central Africa Standard Time,6.4990718,2.6253361,
Prague,Europe/Prague,Central Europe Standard Time,50.0874654,14.4212535,
Praia,Atlantic/Cape_Verde,Cape Verde Standard Time,14.9162811,-23.5095095,
Pretoria,Africa/Johannesburg,South Africa Standard Time,-25.7459277,28.1879101,
Punta Arenas,America/Punta_Arenas,Magallanes Standard Time,-53.1625688,-70.907822,
Pyongyang,Asia/Pyongyang,North Korea Standard Time,39.0167979,125.7473609,
Qaanaaq,America/Thule,Atlantic Standard Time,77.4686357,-69.2222746,Override applied
Quito,America/Guayaquil,SA Pacific Standard Time,-0.2201641,-78.5123274,
Rabat,Africa/Casablanca,Morocco Standard Time,34.0218454,-6.8408929,
Rarotonga,Pacific/Rarotonga,Hawaiian Standard Time,-21.2368312,-159.7774744,
Regina,America/Regina,Canada Central Standard Time,50.4479733,-104.6158764,
Resolute Bay,America/Resolute,Central Standard Time,74.6791392,-94.8423495,
Reykjavik,Atlantic/Reykjavik,Greenwich Standard Time,64.145981,-21.9422367,
Riga,Europe/Riga,FLE Standard Time,56.9493977,24.1051846,
Rio Branco,America/Rio_Branco,SA Pacific Standard Time,-9.9765362,-67.8220778,
Rio de Janeiro,America/Sao_Paulo,E. South America Standard Time,-22.9110137,-43.2093727,
Riyadh,Africa/Nouakchott,Greenwich Standard Time,18.0107143,-15.955326,
Rome,Europe/Rome,W. Europe Standard Time,41.8933203,12.4829321,
Rovaniemi,Europe/Helsinki,FLE Standard Time,66.5025657,25.73122,
Saint-Denis,Europe/Paris,Romance Standard Time,48.935773,2.3580232,
Salt Lake City,America/Denver,Mountain Standard Time,40.7596198,-111.886797,
Samara,Europe/Samara,Russia Time Zone 3,53.1956255,50.1014927,
San Francisco,America/Los_Angeles,Pacific Standard Time,37.7792588,-122.4193286,
San Jose,America/Costa_Rica,Central America Standard Time,9.9325427,-84.0795782,Override applied
San Juan,America/Puerto_Rico,SA Western Standard Time,18.384239,-66.05344,
San Salvador,America/El_Salvador,Central America Standard Time,13.6989939,-89.1914249,
Sana,Asia/Aden,Arab Standard Time,15.35,44.2,
Santiago,America/Costa_Rica,Central America Standard Time,9.8694792,-83.7980749,
Santo Domingo,America/Santo_Domingo,SA Western Standard Time,18.4801972,-69.942111,
São Paulo,America/Sao_Paulo,E. South America Standard Time,-23.5506507,-46.6333824,Override applied
São Tomé,Africa/Sao_Tome,Sao Tome Standard Time,0.3389242,6.7313031,Override applied
Sarajevo,Europe/Sarajevo,Central European Standard Time,43.8570713,18.4126147,
Seattle,America/Los_Angeles,Pacific Standard Time,47.6038321,-122.330062,
Seoul,Asia/Seoul,Korea Standard Time,37.5666791,126.9782914,
Shanghai,Asia/Shanghai,China Standard Time,31.2312707,121.4700152,
Singapore,Asia/Singapore,Singapore Standard Time,1.357107,103.8194992,
Skopje,Europe/Skopje,Central European Standard Time,41.9961816,21.4319213,
Sofia,Europe/Sofia,FLE Standard Time,42.6977028,23.3217359,
Srednekolymsk,Asia/Srednekolymsk,Russia Time Zone 10,67.455497,153.7071456,
Sri Jayawardenepura Kotte,Asia/Colombo,Sri Lanka Standard Time,6.8883219,79.9187415,
St. John's,America/St_Johns,Newfoundland Standard Time,47.5646794,-52.7066964,Override applied
Stanley,Atlantic/Stanley,SA Eastern Standard Time,-51.6930616,-57.856525,
Stockholm,Europe/Stockholm,W. Europe Standard Time,59.3251172,18.0710935,
Sucre,America/La_Paz,SA Western Standard Time,-19.0477251,-65.2594306,
Suva,Pacific/Fiji,Fiji Standard Time,-18.1415884,178.4421662,
Sydney,Australia/Sydney,AUS Eastern Standard Time,-33.8698439,151.2082848,
Taipei,Asia/Taipei,Taipei Standard Time,25.0375198,121.5636796,
Tallinn,Europe/Tallinn,FLE Standard Time,59.4372155,24.7453688,
Tarawa,Pacific/Tarawa,UTC+12,1.4845542,172.9689648,
Tashkent,Asia/Tashkent,West Asia Standard Time,41.3123363,69.2787079,
Tbilisi,Asia/Tbilisi,Georgian Standard Time,41.6934591,44.8014495,
Tegucigalpa,America/Tegucigalpa,Central America Standard Time,14.1057433,-87.2040052,
Tehran,Asia/Tehran,Iran Standard Time,35.6892523,51.3896004,
Thimphu,Asia/Thimphu,Bangladesh Standard Time,27.4713546,89.6336729,
Tiksi,Europe/Helsinki,FLE Standard Time,60.2923492,25.0377634,
Timbuktu,Africa/Bamako,Greenwich Standard Time,16.7719091,-3.0087272,
Tirana,Europe/Tirane,Central Europe Standard Time,41.3281482,19.8184435,
Tokyo,Asia/Tokyo,Tokyo Standard Time,35.6768601,139.7638947,
Toronto,America/Toronto,Eastern Standard Time,43.6534817,-79.3839347,
Tórshavn,Atlantic/Faroe,GMT Standard Time,62.0101396,-6.7715709,Override applied
Tripoli,Africa/Tripoli,Libya Standard Time,32.896672,13.1777923,
Tromsø,Europe/Oslo,W. Europe Standard Time,69.6516345,18.9558585,Override applied
Tunis,Africa/Tunis,W. Central Africa Standard Time,33.8439408,9.400138,
Ulaanbaatar,Asia/Ulaanbaatar,Ulaanbaatar Standard Time,47.9184676,106.9177016,
Unalaska,America/Nome,Alaskan Standard Time,53.8735828,-166.5328654,
Ürümqi,Asia/Shanghai,China Standard Time,43.8244074,87.6139038,Override applied
Valletta,Europe/Malta,W. Europe Standard Time,35.8989979,14.5136607,
Vancouver,America/Vancouver,Pacific Standard Time,49.2608724,-123.113952,
Vatican City,Europe/Rome,W. Europe Standard Time,41.9034912,12.4528349,
Verkhoyansk,Asia/Vladivostok,Vladivostok Standard Time,67.5495068,133.3874618,
Victoria,America/Vancouver,Pacific Standard Time,48.4283182,-123.364953,Override applied
Vienna,Europe/Vienna,W. Europe Standard Time,48.2083537,16.3725042,
Vientiane,Asia/Bangkok,SE Asia Standard Time,17.9640988,102.6133707,
Vilnius,Europe/Vilnius,FLE Standard Time,54.6870458,25.2829111,
Vladivostok,Asia/Vladivostok,Vladivostok Standard Time,43.1150678,131.8855768,
Wake Island,,,,,Override applied; No geocode result
Warsaw,Europe/Warsaw,Central European Standard Time,52.2319581,21.0067249,
Washington DC,America/New_York,Eastern Standard Time,38.8950368,-77.0365427,
Wellington,Pacific/Auckland,New Zealand Standard Time,-41.2887953,174.7772114,
Whitehorse,America/Whitehorse,Yukon Standard Time,60.721571,-135.054932,
Windhoek,Africa/Windhoek,Namibia Standard Time,-22.5335601,17.0454775,
Winnipeg,America/Winnipeg,Central Standard Time,49.8955367,-97.1384584,
Yakutsk,Asia/Yakutsk,Yakutsk Standard Time,62.0274078,129.7319787,
Yamoussoukro,Africa/Abidjan,Greenwich Standard Time,6.8200066,-5.2776034,
Yangon,Asia/Yangon,Myanmar Standard Time,16.7967129,96.1609916,
Yaoundé,Africa/Douala,W. Central Africa Standard Time,3.8689867,11.5213344,
